;snmae;dnmae;z;sname;dname;z
3842;Alpha ;Madera Unified;1.9971755372;Stagg Street ;Los Angeles Unified;-0.3349175054
3843;Lincoln ;Madera Unified;-2.3760405741;Stonehurst Avenue ;Los Angeles Unified;-1.756265997
4122;Mammoth ;Mammoth Unified;4.790513843;Strathern Street ;Los Angeles Unified;-1.7322498485
7319;Walter Woodward ;Manteca Unified;-0.82047438;Sunland ;Los Angeles Unified;1.8490966123
7320;Veritas ;Manteca Unified;-0.1061975319;Sunny Brae Avenue ;Los Angeles Unified;-1.4493703678
7321;Mossdale ;Manteca Unified;-1.2585171363;Superior Street ;Los Angeles Unified;0.7749540744
7326;French Camp ;Manteca Unified;0.9587350682;Sylmar ;Los Angeles Unified;-0.7664087174
7327;Golden West ;Manteca Unified;-2.3600442652;Taper Avenue ;Los Angeles Unified;-0.0125692283
7328;Lathrop ;Manteca Unified;-0.2387114192;Tarzana ;Los Angeles Unified;-4.3089199381
7329;Lincoln ;Manteca Unified;0.3763640388;Telfair Avenue ;Los Angeles Unified;-6.4315879558
7330;New Haven ;Manteca Unified;1.0923486186;Third Street ;Los Angeles Unified;-0.1289829454
7331;Nile Garden ;Manteca Unified;1.0827800455;Thirty-Second Street USC Performing Arts;Los Angeles Unified;-2.6059900738
7332;Sequoia ;Manteca Unified;-0.2770373896;Lenicia B. Weemes ;Los Angeles Unified;-4.4624027052
7333;Shasta ;Manteca Unified;-0.6472831561;Birdielee V. Bright ;Los Angeles Unified;-2.9420095586
7334;Neil Hafley ;Manteca Unified;-0.4865119808;Toland Way ;Los Angeles Unified;0.1603179762
7335;George McParland ;Manteca Unified;-1.4264506626;Toluca Lake ;Los Angeles Unified;-3.1994989208
7336;Brock Elliott ;Manteca Unified;-1.7743462548;Topeka Charter School For Advanced Studies;Los Angeles Unified;-1.2020826386
7337;Stella Brockman ;Manteca Unified;-0.7155188792;Towne Avenue ;Los Angeles Unified;-2.444521218
7338;August Knodt ;Manteca Unified;-1.9888978134;Tulsa Street ;Los Angeles Unified;0.3731910986
7339;Joshua Cowell ;Manteca Unified;-0.1955437169;Tweedy ;Los Angeles Unified;-5.2912041883
7340;Great Valley ;Manteca Unified;-2.6532783116;Twentieth Street ;Los Angeles Unified;-0.8553771167
7341;Joseph Widmer, Jr., ;Manteca Unified;-2.3332784288;Twenty-Eighth Street ;Los Angeles Unified;-3.0717933953
7342;George Y. Komure ;Manteca Unified;0.1754847771;Twenty-Fourth Street ;Los Angeles Unified;-3.5026322766
407;Manzanita ;Manzanita ;0.3622453683;Two Hundred Thirty-Second Place;Los Angeles Unified;0.4273106143
1500;Maple ;Maple ;-0.0277614426;Union Avenue ;Los Angeles Unified;-10.1415233973
8866;South Sutter Charter;Marcum-Illinois Union Elementa;-1.106798673;Valerio Street ;Los Angeles Unified;-1.8007521153
8867;Marcum-Illinois Union ;Marcum-Illinois Union Elementa;-0.8620493917;Valley View ;Los Angeles Unified;-0.6223139177
1503;California Virtual Academy @ Maricopa;Maricopa Unified;-1.4061013706;Van Deene Avenue ;Los Angeles Unified;-1.6055046188
3933;Sierra Foothill Charter;Mariposa County Unified;1.7130669772;Van Gogh Charter;Los Angeles Unified;0.152928451
3936;Mariposa ;Mariposa County Unified;-0.7694737526;Van Nuys ;Los Angeles Unified;-6.9737304908
3937;Woodland ;Mariposa County Unified;-2.3988684594;Vanalden Avenue ;Los Angeles Unified;-0.3917119292
3938;Lake Don Pedro ;Mariposa County Unified;0.1516350682;Vaughn Next Century Learning Center;Los Angeles Unified;-1.8017930107
459;Copperopolis ;Mark Twain Union ;-1.324339716;Vena Avenue ;Los Angeles Unified;-0.4643022854
460;Mark Twain ;Mark Twain Union ;-0.1383977291;Vermont Avenue ;Los Angeles Unified;-1.8947083646
8583;Mark West Charter;Mark West Union ;0.6233165848;Vintage Math/Science/Technology Magnet;Los Angeles Unified;-2.7359091916
8584;Mark West ;Mark West Union ;0.4497320491;Virginia Road ;Los Angeles Unified;-3.014522055
8585;San Miguel ;Mark West Union ;0.476219365;Wadsworth Avenue ;Los Angeles Unified;-7.1310328098
8586;John B. Riebli ;Mark West Union ;2.3026652814;Walgrove Avenue ;Los Angeles Unified;-0.4305391682
548;John Muir ;Martinez Unified;1.7286400852;Welby Way  Charter;Los Angeles Unified;0.0981457689
549;John Swett ;Martinez Unified;-3.2006727039;West Athens ;Los Angeles Unified;-8.9276785668
550;Las Juntas ;Martinez Unified;0.2490349006;West Hollywood ;Los Angeles Unified;1.5735547606
551;Morello Park ;Martinez Unified;-0.7499555824;Western Avenue ;Los Angeles Unified;-15.170071284
9455;Edgewater ;Marysville Joint Unified;-0.4490540648;Westport Heights ;Los Angeles Unified;-0.0704494828
9456;Paragon Collegiate Academy;Marysville Joint Unified;-0.2298223132;Westwood Charter ;Los Angeles Unified;2.4053461416
9462;Arboga ;Marysville Joint Unified;-1.0974781831;White Point ;Los Angeles Unified;1.9170247365
9470;Loma Rica ;Marysville Joint Unified;-0.5868859344;Wilbur Charter For Enriched Academics;Los Angeles Unified;-2.2665101947
9471;Covillaud ;Marysville Joint Unified;0.5524813314;Wilmington Park ;Los Angeles Unified;-4.7784868269
9472;Olivehurst ;Marysville Joint Unified;0.003132119;Wilshire Crest ;Los Angeles Unified;-0.7834252991
9473;Kynoch ;Marysville Joint Unified;-0.2063836171;Wilton Place ;Los Angeles Unified;0.4938887525
9476;Browns Valley ;Marysville Joint Unified;-0.3027369147;Windsor Hills Math Science;Los Angeles Unified;-2.9846183488
1222;Mattole Valley Charter (#159);Mattole Unified;-1.862522226;Wonderland Avenue ;Los Angeles Unified;-2.2053891756
471;Maxwell ;Maxwell Unified;1.7616020913;Woodcrest ;Los Angeles Unified;-9.9443658825
1297;McCabe ;McCabe Union ;-2.8655769221;Woodlake  Community Charter;Los Angeles Unified;-1.8678309721
1193;Dows Prairie ;McKinleyville Union ;0.6341206325;Woodland Hills  Charter For Enriched Stu;Los Angeles Unified;0.2937599243
1195;Morris ;McKinleyville Union ;-0.8111868318;Woodlawn Avenue ;Los Angeles Unified;-0.0125551131
4043;McSwain ;McSwain Union ;0.6446645194;Loren Miller ;Los Angeles Unified;-18.8984904
3956;Mendocino K-8;Mendocino Unified;1.0707391286;Saturn Street ;Los Angeles Unified;-1.3212648389
5234;Freedom Crest ;Menifee Union ;-2.0384805915;Castlebay Lane Charter;Los Angeles Unified;-0.736872694
5235;Oak Meadows ;Menifee Union ;-2.0765594454;Robert F. Kennedy ;Los Angeles Unified;0.2346118395
5236;Santa Rosa Academy;Menifee Union ;-2.7070039169;Fishburn Avenue ;Los Angeles Unified;-4.1244859966
5237;Evans Ranch ;Menifee Union ;-5.1411106867;Community Magnet Charter ;Los Angeles Unified;-2.9761873403
5238;Southshore ;Menifee Union ;0.4474692885;Open Charter Magnet;Los Angeles Unified;-0.5076965217
5239;Quail Valley ;Menifee Union ;-0.4344733812;Balboa Gifted/High Ability Magnet ;Los Angeles Unified;-2.9247924548
5241;Herk Bouris ;Menifee Union ;-2.0797882464;Montara Avenue ;Los Angeles Unified;-1.6008674379
5243;Chester W. Morrison ;Menifee Union ;-2.8755087521;Teresa Hughes ;Los Angeles Unified;-3.5673568347
5244;Callie Kirkpatrick ;Menifee Union ;-1.6202658785;San Miguel ;Los Angeles Unified;-3.9681939699
5245;Ridgemoor ;Menifee Union ;-0.665631709;Nueva Vista ;Los Angeles Unified;-2.522868724
7584;Encinal ;Menlo Park City ;2.2865507733;Sara Coughlin ;Los Angeles Unified;-3.6088161916
4045;Joe Stefani;Merced City ;-2.7088999839;Walnut Park ;Los Angeles Unified;-1.2589292834
4046;Ada Givens ;Merced City ;-0.1278719113;Los Angeles ;Los Angeles Unified;-2.538033912
4047;Charles Wright ;Merced City ;1.2577217094;San Antonio ;Los Angeles Unified;-3.0458132173
4048;Donn B. Chenoweth ;Merced City ;0.2785409447;Accelerated;Los Angeles Unified;-4.7298772625
4051;John C. Fremont Charter;Merced City ;1.4233743375;Gratts Learning Academy for Young Scholars (GLAYS);Los Angeles Unified;-7.1256871402
4052;John Muir ;Merced City ;1.8331327477;View Park Preparatory Accelerated Charter;Los Angeles Unified;-2.2371140766
4053;Luther Burbank ;Merced City ;1.5480976642;Ellen Ochoa Learning Center;Los Angeles Unified;-3.9018384232
4054;Margaret Sheehy ;Merced City ;2.8206512751;Multicultural Learning Center;Los Angeles Unified;1.5199226066
4057;Allan Peterson ;Merced City ;-1.6604409107;CHIME Institute's Schwarzenegger Community;Los Angeles Unified;-0.0171140479
4058;Leontine Gracey ;Merced City ;0.0426139379;Lorena Falasco ;Los Banos Unified;-0.0094567582
9220;Golden Valley Charter;Mesa Union ;-0.0729339122;Mercey Springs ;Los Banos Unified;-0.6575667304
9221;Mesa ;Mesa Union ;2.3682752546;Charleston ;Los Banos Unified;-0.2703290393
1691;Minnie Cannon ;Middletown Unified;-0.4362252375;Henry Miller ;Los Banos Unified;-3.5533967513
1692;Cobb Mountain ;Middletown Unified;-0.505766722;Los Banos ;Los Banos Unified;-3.3418172394
1694;Coyote Valley ;Middletown Unified;-1.0249250901;R. M. Miano ;Los Banos Unified;-1.0983262557
1508;Midway ;Midway ;-0.0383495024;Volta ;Los Banos Unified;-0.8834140721
3882;Strawberry Point ;Mill Valley ;0.5680331831;Westside Union ;Los Banos Unified;0.2648483657
7587;Green Hills ;Millbrae ;-0.4239802591;Louise Van Meter ;Los Gatos Union ;1.6705939205
7588;Lomita Park ;Millbrae ;-0.2451931942;Los Molinos ;Los Molinos Unified;-0.1213819523
7589;Meadows ;Millbrae ;-0.6901661484;Ada S. Nelson ;Los Nietos;-1.3997769196
7590;Spring Valley ;Millbrae ;0.7882874473;Aeolian ;Los Nietos;-5.5771021564
8314;Millville ;Millville ;-1.4879629868;Rancho Santa Gertrudes ;Los Nietos;-3.0842118455
8182;Alexander Rose ;Milpitas Unified;0.9201973763;Los Olivos ;Los Olivos ;0.9187396558
8183;Anthony Spangler ;Milpitas Unified;-1.1596184832;El Portal ;Lowell Joint;2.469627717
8184;Curtner ;Milpitas Unified;-2.5659366109;Jordan ;Lowell Joint;-0.6248917467
8185;John Sinnott ;Milpitas Unified;-1.1222635553;Macy ;Lowell Joint;-0.7101170638
8186;Joseph Weller ;Milpitas Unified;1.4540356741;Meadow Green ;Lowell Joint;0.2418730837
8187;Marshall Pomeroy ;Milpitas Unified;0.2374205409;Olita ;Lowell Joint;-0.6424726064
8189;Robert Randall ;Milpitas Unified;1.4197283585;Sky Mountain Charter;Lucerne Valley Unified;-0.5994863445
8191;William Burnett ;Milpitas Unified;-0.4820268361;Lange (Dorothea) ;Lucia Mar Unified;3.0457032087
8192;Pearl Zanker ;Milpitas Unified;0.5435197765;Branch ;Lucia Mar Unified;0.82577759
8727;Elihu Beard ;Modesto City ;-1.2612414469;Grover Beach ;Lucia Mar Unified;1.6234373604
8730;El Vista ;Modesto City ;-0.3046196367;Grover Heights ;Lucia Mar Unified;-0.5724829763
8731;Enslen ;Modesto City ;-3.6039316709;Harloe ;Lucia Mar Unified;0.7982299519
8732;Catherine Everett ;Modesto City ;-0.4450046439;Nipomo ;Lucia Mar Unified;-0.8532570337
8733;Fairview ;Modesto City ;-0.4208587856;Fairgrove ;Lucia Mar Unified;-0.0656582326
8735;John Fremont ;Modesto City ;0.998901091;Ocean View ;Lucia Mar Unified;-0.801349651
8737;John Muir ;Modesto City ;-1.5434990081;Oceano ;Lucia Mar Unified;-2.2795025812
8744;Rose Avenue ;Modesto City ;1.8391330164;Shell Beach ;Lucia Mar Unified;0.0142927639
8747;Wilson ;Modesto City ;-0.9030898427;Dana ;Lucia Mar Unified;-0.0481823562
8748;Sonoma ;Modesto City ;-1.3717988203;Washington ;Lynwood Unified;-0.3740397934
8749;Lakewood ;Modesto City ;-1.8228093099;Rosa Parks ;Lynwood Unified;-1.8183169206
8751;Alberta Martone ;Modesto City ;-3.6848658679;Sherman Thomas Charter;Madera Unified;-1.6979815844
4109;Alturas ;Modoc Joint Unified;0.5673035703;John J. Pershing ;Madera Unified;-0.5867772688
1510;Hacienda ;Mojave Unified;0.2931259286;Dixieland ;Madera Unified;1.7405046821
1513;Mojave ;Mojave Unified;-1.5559626071;Howard ;Madera Unified;-1.1282891955
1514;Robert P. Ulrich ;Mojave Unified;-0.3630491493;John Adams ;Madera Unified;-0.452791619
1001;Monroe ;Monroe ;-0.7865046124;Berenda ;Madera Unified;-2.7781942961
3255;Bradoaks ;Monrovia Unified;1.6287403715;Alpha ;Madera Unified;1.3232099558
3257;Mayflower ;Monrovia Unified;1.4177532811;Lincoln ;Madera Unified;-1.4961702122
3258;Monroe ;Monrovia Unified;-0.0554937044;Albert Schweitzer ;Magnolia ;-0.481554859
3259;Plymouth ;Monrovia Unified;1.3989018291;Baden-Powell ;Magnolia ;-1.2186849629
3261;Wild Rose ;Monrovia Unified;-0.6375124917;Esther L. Walter ;Magnolia ;-0.3036555519
8381;Montague ;Montague ;0.1215755436;Jonas E. Salk ;Magnolia ;2.8197960692
3269;Bella Vista ;Montebello Unified;-0.1871043482;Juliette Low ;Magnolia ;1.3961751025
3272;Fremont ;Montebello Unified;-1.5858619517;Mattie Lou Maxwell ;Magnolia ;-0.012482173
3276;La Merced ;Montebello Unified;1.4442576087;Peter Marshall ;Magnolia ;-0.1322950585
3279;Potrero Heights ;Montebello Unified;0.7242512945;Robert M. Pyles ;Magnolia ;-0.589543916
3282;Washington ;Montebello Unified;1.2637466669;Walt Disney ;Magnolia ;-0.3709605758
3283;Wilcox ;Montebello Unified;0.3425671114;Mammoth ;Mammoth Unified;5.0424160376
4125;Monterey Bay Charter;Monterey County Office of Educ;-1.630088848;Walter Woodward ;Manteca Unified;-1.4884352834
4126;Bay View Academy;Monterey County Office of Educ;-0.8697552144;Veritas ;Manteca Unified;-1.7765797526
4129;Monterey County Special Education;Monterey County Office of Educ;-1.9012713682;Mossdale ;Manteca Unified;-0.7140049211
4171;Monte Vista;Monterey Peninsula Unified;-0.0915279489;French Camp ;Manteca Unified;0.8771917197
4175;Foothill ;Monterey Peninsula Unified;0.5216913259;Golden West ;Manteca Unified;-2.0701201551
4176;George C. Marshall ;Monterey Peninsula Unified;0.0997927521;Lathrop ;Manteca Unified;-1.5489846254
4178;Ione Olson ;Monterey Peninsula Unified;-0.9904296544;Lincoln ;Manteca Unified;-1.8177870215
4179;J. C. Crumpton ;Monterey Peninsula Unified;-1.3254189123;New Haven ;Manteca Unified;-0.7091864395
4180;La Mesa ;Monterey Peninsula Unified;2.1382550818;Nile Garden ;Manteca Unified;-0.0997580668
4181;Marina Vista ;Monterey Peninsula Unified;-0.9122242592;Sequoia ;Manteca Unified;-3.9649464079
4187;International School of Monterey;Monterey Peninsula Unified;1.5265176339;Shasta ;Manteca Unified;-0.5842330016
9389;Flory Academy of Sciences and Technology;Moorpark Unified;3.5394943965;Neil Hafley ;Manteca Unified;-3.8177388905
9390;Peach Hill Academy;Moorpark Unified;2.9776029616;George McParland ;Manteca Unified;-1.5379427369
9392;Campus Canyon ;Moorpark Unified;0.3968596829;Brock Elliott ;Manteca Unified;-1.4088180545
9393;Mountain Meadows ;Moorpark Unified;0.3823000903;Stella Brockman ;Manteca Unified;-1.1996209748
9394;Arroyo West ;Moorpark Unified;2.700304867;August Knodt ;Manteca Unified;-2.2372322733
9396;Walnut Canyon ;Moorpark Unified;1.7886500765;Joshua Cowell ;Manteca Unified;-2.2136507505
8013;Country Lane ;Moreland;-0.1441982363;Great Valley ;Manteca Unified;-1.6275594023
8014;Easterbrook Discovery;Moreland;3.49519982;Joseph Widmer, Jr., ;Manteca Unified;-3.8516247459
8016;George C. Payne ;Moreland;-0.961628006;George Y. Komure ;Manteca Unified;-2.268724856
8017;Gussie M. Baker ;Moreland;3.1738135362;Manzanita ;Manzanita ;0.9020995568
8018;Leroy Anderson ;Moreland;-0.8666672297;Maple ;Maple ;-0.2915023424
5248;TownGate ;Moreno Valley Unified;-0.0660997426;South Sutter Charter;Marcum-Illinois Union ;-3.8507347419
5250;La Jolla ;Moreno Valley Unified;1.1582854315;Marcum-Illinois Union ;Marcum-Illinois Union ;-1.1312037593
5258;Midland ;Moreno Valley Unified;-0.8469598681;California Virtual Academy @ Maricopa;Maricopa Unified;-4.0827500507
5259;Moreno ;Moreno Valley Unified;-0.9648924849;Sierra Foothill Charter;Mariposa County Unified;0.1604783255
5260;Sunnymead ;Moreno Valley Unified;-1.4865226564;Mariposa ;Mariposa County Unified;-0.8834843526
5261;Butterfield ;Moreno Valley Unified;-1.065421357;Woodland ;Mariposa County Unified;1.214864173
5263;Ramona ;Moreno Valley Unified;-0.6978813409;Lake Don Pedro ;Mariposa County Unified;-1.0537168051
5264;Honey Hollow ;Moreno Valley Unified;1.0587110553;Copperopolis ;Mark Twain Union ;-0.0572632276
5267;Sugar Hill ;Moreno Valley Unified;-0.5464146976;Mark Twain ;Mark Twain Union ;-0.5664112339
5268;Creekside ;Moreno Valley Unified;0.515157298;Mark West Charter;Mark West Union ;0.1840239426
5269;Chaparral Hills ;Moreno Valley Unified;-0.1230550108;Mark West ;Mark West Union ;0.4890768446
5270;Cloverdale ;Moreno Valley Unified;-0.3158841727;San Miguel ;Mark West Union ;1.5437540758
5272;Bear Valley ;Moreno Valley Unified;-1.1296043908;John B. Riebli ;Mark West Union ;0.687554138
5275;Box Springs ;Moreno Valley Unified;-0.8724928668;John Muir ;Martinez Unified;0.2943497513
5276;Hendrick Ranch ;Moreno Valley Unified;-0.5798992717;John Swett ;Martinez Unified;0.9294961908
5277;Hidden Springs ;Moreno Valley Unified;-0.2154605805;Las Juntas ;Martinez Unified;-1.4634794616
5278;North Ridge ;Moreno Valley Unified;-1.556165209;Morello Park ;Martinez Unified;-1.890215386
5279;Ridge Crest ;Moreno Valley Unified;-0.3060889827;Edgewater ;Marysville Joint Unified;-0.8698812602
5282;Seneca ;Moreno Valley Unified;-1.8213789567;Paragon Collegiate Academy;Marysville Joint Unified;-0.0263371953
8022;Nordstrom ;Morgan Hill Unified;3.6643474889;Arboga ;Marysville Joint Unified;-1.3119093487
8023;P. A. Walsh ;Morgan Hill Unified;0.2185509746;Cordua ;Marysville Joint Unified;-0.3278290053
8024;San Martin/Gwinn ;Morgan Hill Unified;2.4259769233;Covillaud ;Marysville Joint Unified;0.7211121365
8026;Los Paseos ;Morgan Hill Unified;2.0681415178;Olivehurst ;Marysville Joint Unified;-1.6886560929
8027;Jackson Academy of Music and Math (JAMM);Morgan Hill Unified;1.6364665061;Kynoch ;Marysville Joint Unified;-0.265909706
8028;Paradise Valley/Machado ;Morgan Hill Unified;1.3890290801;Browns Valley ;Marysville Joint Unified;0.7199144743
8030;El Toro ;Morgan Hill Unified;0.1877333057;Mattole Valley Charter (#159);Mattole Unified;-1.287126712
8031;Barrett ;Morgan Hill Unified;2.4178714618;Maxwell ;Maxwell Unified;-3.5514361085
6098;Joshua Tree ;Morongo Unified;0.1515983357;McCabe ;McCabe Union ;-0.2276206275
6099;Morongo Valley ;Morongo Unified;0.149943593;Browning Road ;McFarland Unified;0.216843325
6100;Oasis ;Morongo Unified;2.0684162648;Kern Avenue ;McFarland Unified;-0.1256840894
6101;Palm Vista ;Morongo Unified;1.1526381626;Morris ;McKinleyville Union ;-0.4968547623
6102;Twentynine Palms ;Morongo Unified;1.6746453416;McSwain ;McSwain Union ;-0.3076011345
6104;Yucca Valley ;Morongo Unified;-1.8064645395;Meadows ;Meadows Union ;2.6313649812
6105;Yucca Mesa ;Morongo Unified;-1.2304125786;Mendocino K-8;Mendocino Unified;-0.1903137987
6107;Friendly Hills ;Morongo Unified;0.0573787526;Freedom Crest ;Menifee Union ;-2.1985373423
6108;Condor ;Morongo Unified;-3.1422734466;Oak Meadows ;Menifee Union ;0.2571370894
6110;Onaga ;Morongo Unified;0.3371943731;Santa Rosa Academy;Menifee Union ;-2.5787394298
761;Indian Creek ;Mother Lode Union ;-1.1765070306;Evans Ranch ;Menifee Union ;-1.5419763834
6651;Mountain Peak Charter;Mountain Empire Unified;-2.4619357712;Southshore ;Menifee Union ;-2.1972424694
6656;Campo ;Mountain Empire Unified;-0.8449936565;Quail Valley ;Menifee Union ;-0.9697001773
6657;Descanso ;Mountain Empire Unified;-1.9398182872;Herk Bouris ;Menifee Union ;-3.1816181655
6658;Clover Flat ;Mountain Empire Unified;-1.4422121362;Chester W. Morrison ;Menifee Union ;-1.9997212992
8953;Hayfork Valley ;Mountain Valley Unified;-1.3694570214;Callie Kirkpatrick ;Menifee Union ;-2.0564195905
3291;Baker ;Mountain View ;-2.0303019075;Ridgemoor ;Menifee Union ;-1.8257413938
3293;Cogswell ;Mountain View ;-2.5304344657;Encinal ;Menlo Park City ;5.409279672
3294;La Primaria ;Mountain View ;-0.7460415563;Joe Stefani;Merced City ;-0.3096362121
3296;Maxson ;Mountain View ;-1.0191681892;Ada Givens ;Merced City ;0.3582218699
3297;Miramonte ;Mountain View ;-2.2746634035;Charles Wright ;Merced City ;0.3558759554
3298;Monte Vista ;Mountain View ;-2.4496786229;Donn B. Chenoweth ;Merced City ;0.0084573041
3299;Parkview ;Mountain View ;-1.9685005038;John C. Fremont ;Merced City ;0.7142610775
3300;Willard F. Payne ;Mountain View ;-1.8552912418;John Muir ;Merced City ;-0.1631456928
3301;Twin Lakes ;Mountain View ;0.4461102235;Luther Burbank ;Merced City ;3.6919717014
6112;Mountain View ;Mountain View ;-1.4283533814;Allan Peterson ;Merced City ;3.3751069037
6114;Creek View ;Mountain View ;-0.2315360232;Golden Valley Charter;Mesa Union ;-0.2615436579
6115;Ranch View ;Mountain View ;-1.0683050626;Mesa ;Mesa Union ;5.3561812588
8033;Benjamin Bubb ;Mountain View Whisman;1.461326626;Minnie Cannon ;Middletown Unified;-0.0622349302
8034;Edith Landels ;Mountain View Whisman;2.1821111995;Cobb Mountain ;Middletown Unified;-0.7898070427
8035;Frank L. Huff ;Mountain View Whisman;-0.8905897424;Coyote Valley ;Middletown Unified;-3.1471799783
8037;Mariano Castro ;Mountain View Whisman;2.8062306119;Midway ;Midway ;-0.4826697138
8038;Stevenson ;Mountain View Whisman;1.103381236;Strawberry Point ;Mill Valley ;1.0698773259
8040;Monta Loma ;Mountain View Whisman;0.3787337467;Green Hills ;Millbrae ;-0.2505227654
8041;Theuerkauf ;Mountain View Whisman;-1.5821460977;Lomita Park ;Millbrae ;-0.0850414228
555;Delta View ;Mt. Diablo Unified;2.1349771553;Meadows ;Millbrae ;1.0544196538
561;Ayers ;Mt. Diablo Unified;2.9141842865;Spring Valley ;Millbrae ;0.3377849134
562;Bancroft ;Mt. Diablo Unified;2.5429188265;Millville ;Millville ;-2.7083156187
566;El Monte ;Mt. Diablo Unified;1.085230909;Alexander Rose ;Milpitas Unified;1.6746034431
567;Fair Oaks ;Mt. Diablo Unified;0.3438197674;Anthony Spangler ;Milpitas Unified;0.1434429289
569;Hidden Valley ;Mt. Diablo Unified;1.6525022967;Curtner ;Milpitas Unified;0.8313513173
570;Highlands ;Mt. Diablo Unified;-0.8220645117;John Sinnott ;Milpitas Unified;2.8365195176
572;Monte Gardens ;Mt. Diablo Unified;-1.9298517752;Joseph Weller ;Milpitas Unified;-0.6160519015
573;Mountain View ;Mt. Diablo Unified;0.4538745921;Marshall Pomeroy ;Milpitas Unified;2.4851470632
574;Mt. Diablo ;Mt. Diablo Unified;-0.1937588002;Robert Randall ;Milpitas Unified;0.3408120724
578;Pleasant Hill ;Mt. Diablo Unified;1.4018143978;William Burnett ;Milpitas Unified;0.0585025445
579;Sequoia ;Mt. Diablo Unified;-1.4173671497;Pearl Zanker ;Milpitas Unified;1.6301334644
582;Silverwood ;Mt. Diablo Unified;-0.0705880923;Elihu Beard ;Modesto City ;-2.5227821211
583;Strandwood ;Mt. Diablo Unified;0.9893132636;Enslen ;Modesto City ;0.3696681585
584;Sun Terrace ;Mt. Diablo Unified;-0.229755991;Catherine Everett ;Modesto City ;-1.023779765
585;Valhalla ;Mt. Diablo Unified;0.1987530545;Fairview ;Modesto City ;-2.9204072184
586;Valle Verde ;Mt. Diablo Unified;-0.7296500135;John Fremont ;Modesto City ;1.028868847
588;Walnut Acres ;Mt. Diablo Unified;-0.3570401907;John Muir ;Modesto City ;-2.2105099474
589;Westwood ;Mt. Diablo Unified;-1.3668941393;Rose Avenue ;Modesto City ;-0.6075566063
590;Woodside ;Mt. Diablo Unified;-0.6571847438;Sonoma ;Modesto City ;-0.5781446922
591;Wren Avenue ;Mt. Diablo Unified;0.2557497118;Lakewood ;Modesto City ;1.774219803
592;Ygnacio Valley ;Mt. Diablo Unified;-0.0688916549;Alberta Martone ;Modesto City ;-1.0572071067
593;Rio Vista ;Mt. Diablo Unified;0.2574196442;Alturas ;Modoc Joint Unified;-0.7335972995
596;Gregory Gardens ;Mt. Diablo Unified;-0.3691817885;Hacienda ;Mojave Unified;-2.2082458569
8047;Ida Jew Academies;Mt. Pleasant ;-0.1706870542;Mojave ;Mojave Unified;-2.1937447316
8048;Mt. Pleasant ;Mt. Pleasant ;0.5380389641;Robert P. Ulrich ;Mojave Unified;-0.2710093362
8049;Robert Sanders ;Mt. Pleasant ;-1.6016632534;Bradoaks ;Monrovia Unified;2.1469731324
8050;Valle Vista ;Mt. Pleasant ;-0.4632877933;Mayflower ;Monrovia Unified;2.1582296208
8383;Mt. Shasta ;Mt. Shasta Union ;2.4397498391;Monroe ;Monrovia Unified;1.7359524465
1301;Mulberry ;Mulberry ;-3.4386895301;Plymouth ;Monrovia Unified;-0.2034737327
9223;Mupu ;Mupu ;0.1056273222;Wild Rose ;Monrovia Unified;0.4891468984
1519;Irving L. Branch ;Muroc Joint Unified;0.3049702488;Monson-Sultana ;Monson-Sultana Joint Union ;0.1527345854
1520;West Boron ;Muroc Joint Unified;3.1649237578;Montague ;Montague ;-0.6198365357
5479;Monte Vista ;Murrieta Valley Unified;0.0131395539;Bandini ;Montebello Unified;-0.1271651865
5481;Antelope Hills ;Murrieta Valley Unified;-2.9226722303;Bella Vista ;Montebello Unified;-1.6242834029
5482;Lisa J. Mails ;Murrieta Valley Unified;-2.1133008416;Cesar E. Chavez ;Montebello Unified;-0.3561753364
5486;Murrieta ;Murrieta Valley Unified;-1.1777417639;Joseph A. Gascon ;Montebello Unified;-20.1067711933
5487;Avaxat ;Murrieta Valley Unified;-1.7849581644;Fremont ;Montebello Unified;-2.4385177513
5488;Alta Murrieta ;Murrieta Valley Unified;0.2950694387;Garfield ;Montebello Unified;-3.8442057293
5489;E. Hale Curran ;Murrieta Valley Unified;-2.1694166758;La Merced ;Montebello Unified;-4.9008288383
5490;Rail Ranch ;Murrieta Valley Unified;-1.5233525319;Potrero Heights ;Montebello Unified;1.15783263
5493;Tovashal ;Murrieta Valley Unified;-1.285173124;Rosewood Park;Montebello Unified;-3.4049658141
5494;Cole Canyon ;Murrieta Valley Unified;-3.0506869148;Suva ;Montebello Unified;-0.8983561195
5495;Daniel N. Buchanan ;Murrieta Valley Unified;0.1074854489;Washington ;Montebello Unified;1.4698749226
4262;Canyon Oaks ;Napa Valley Unified;1.5312782077;Wilcox ;Montebello Unified;-2.1124159352
4267;Alta Heights ;Napa Valley Unified;1.9949112254;Winter Gardens ;Montebello Unified;-2.6204177751
4268;Bel Aire Park ;Napa Valley Unified;0.3774004747;Monterey Bay Charter;Monterey County Office of Education;-5.6975930168
4269;Browns Valley ;Napa Valley Unified;5.8003273388;Bay View Academy;Monterey County Office of Education;-0.9370450044
4270;Donaldson Way ;Napa Valley Unified;0.1299670361;Monte Vista;Monterey Peninsula Unified;-0.6228001311
4271;El Centro ;Napa Valley Unified;1.5298127066;Dual Language Academy of the Monterey Peninsula;Monterey Peninsula Unified;0.6623129068
