;snmae;dnmae;z;sname;dname;z
359;Pioneer ;Amador County Unified;0.0365097121;A. J. Dorsa ;Alum Rock Union ;-0.6717808529
360;Plymouth ;Amador County Unified;-1.1307458427;Ben Painter ;Alum Rock Union ;0.1116799791
361;Sutter Creek ;Amador County Unified;2.1724702733;Donald J. Meyer ;Alum Rock Union ;1.0405298383
4341;Ponderosa ;Anaheim City;-1.1463097556;Horace Cureton ;Alum Rock Union ;2.0402761089
4342;Lincoln (Abraham) ;Anaheim City;0.0528992044;Linda Vista ;Alum Rock Union ;0.5379352294
4343;Price (Adelaide) ;Anaheim City;0.1791487803;Millard McCollam ;Alum Rock Union ;-0.7211417465
4344;Stoddard (Alexander J.) ;Anaheim City;-0.9201234484;San Antonio ;Alum Rock Union ;0.3393510682
4345;Juarez (Benito) ;Anaheim City;-0.9937176703;Sylvia Cassell ;Alum Rock Union ;3.2979730951
4346;Franklin (Benjamin) ;Anaheim City;-1.7504809025;Thomas P. Ryan ;Alum Rock Union ;1.1905582609
4347;Ross (Betsy) ;Anaheim City;-1.6457221427;Phillip M. Stokoe ;Alvord Unified;-0.5640503317
4348;Barton (Clara) ;Anaheim City;-0.5045046055;Lake Hills ;Alvord Unified;-0.192440864
4349;Mann (Horace) ;Anaheim City;-0.3558916162;Allan Orrenmaa ;Alvord Unified;-1.2568374544
4350;Guinn (James M.) ;Anaheim City;-0.3753940822;Collett ;Alvord Unified;-0.2216529875
4351;Madison (James) ;Anaheim City;-0.6404078224;S. Christa McAuliffe ;Alvord Unified;0.4458860467
4352;Marshall (John) ;Anaheim City;0.7922452073;Promenade ;Alvord Unified;-1.5872328657
4353;Loara ;Anaheim City;-0.1773965054;Valley View ;Alvord Unified;-0.5827803317
4354;Gauer (Melbourne A.) ;Anaheim City;-0.884534755;Rosemary Kennedy ;Alvord Unified;-0.9852741863
4355;Palm Lane ;Anaheim City;2.4059532218;Ione ;Amador County Unified;-3.3368844636
4358;Sunkist ;Anaheim City;1.250675049;Jackson ;Amador County Unified;0.0235612903
4359;Roosevelt (Theodore) ;Anaheim City;0.5440621996;Pine Grove  STEM Magnet;Amador County Unified;0.8761675041
4361;Jefferson (Thomas) ;Anaheim City;-0.7394172193;Pioneer ;Amador County Unified;-0.0925665516
4363;Westmont ;Anaheim City;0.0004740972;Plymouth ;Amador County Unified;-2.1976508067
3943;Anderson Valley ;Anderson Valley Unified;0.0638088439;Sutter Creek ;Amador County Unified;-1.0980547641
8900;Antelope ;Antelope ;0.3755998454;Lincoln (Abraham) ;Anaheim City;-0.9932858027
492;Lone Tree ;Antioch Unified;-0.8477098393;Price (Adelaide) ;Anaheim City;2.5811921243
494;Carmen Dragon ;Antioch Unified;-2.5773492492;Stoddard (Alexander J.) ;Anaheim City;-0.0770955573
495;Orchard Park;Antioch Unified;-0.1065818811;Juarez (Benito) ;Anaheim City;0.8426383686
502;Belshaw ;Antioch Unified;-2.0580739471;Franklin (Benjamin) ;Anaheim City;-0.8308897691
503;Fremont ;Antioch Unified;-1.0919242643;Ross (Betsy) ;Anaheim City;0.2616344375
504;Kimball ;Antioch Unified;-3.0237354166;Barton (Clara) ;Anaheim City;1.636653873
505;Marsh ;Antioch Unified;-2.7305571884;Mann (Horace) ;Anaheim City;-2.0745378647
506;Sutter ;Antioch Unified;-3.225279114;Guinn (James M.) ;Anaheim City;1.1775205053
507;Turner ;Antioch Unified;-1.6569593607;Madison (James) ;Anaheim City;1.068196535
510;Mission ;Antioch Unified;-4.2399039293;Marshall (John) ;Anaheim City;0.0397475951
511;Muir (John) ;Antioch Unified;-0.5110031383;Loara ;Anaheim City;-0.2396054286
512;Jack London ;Antioch Unified;-1.3127265113;Gauer (Melbourne A.) ;Anaheim City;-1.8539151394
514;Grant ;Antioch Unified;-0.6319236453;Sunkist ;Anaheim City;0.3722909772
516;Diablo Vista ;Antioch Unified;-1.2532139618;Roosevelt (Theodore) ;Anaheim City;-0.2598828113
6405;Vanguard Preparatory;Apple Valley Unified;-1.0722222634;Jefferson (Thomas) ;Anaheim City;-0.8714575322
6406;Sitting Bull Academy;Apple Valley Unified;1.4550279644;Westmont ;Anaheim City;0.1209706545
6407;Phoenix Academy;Apple Valley Unified;-2.4992020819;Antelope ;Antelope ;1.1907649825
6411;Academy for Academic Excellence;Apple Valley Unified;-1.8691214953;Lone Tree ;Antioch Unified;1.5758811199
6412;Mariana Academy;Apple Valley Unified;-0.2961190586;Carmen Dragon ;Antioch Unified;-0.3346825317
6413;Rancho Verde ;Apple Valley Unified;-0.9854243367;Orchard Park;Antioch Unified;2.0052401207
6414;Yucca Loma ;Apple Valley Unified;-2.166011084;Antioch Charter Academy II;Antioch Unified;-4.7941539288
6415;Desert Knolls ;Apple Valley Unified;0.7873039188;Belshaw ;Antioch Unified;-0.4744712191
6416;Sandia ;Apple Valley Unified;0.2020438003;Sutter ;Antioch Unified;-1.4997411303
6417;Rio Vista ;Apple Valley Unified;-2.5675877171;Turner ;Antioch Unified;1.2208510952
6418;Sycamore Rocks ;Apple Valley Unified;-0.8103628266;Mission ;Antioch Unified;-1.7313610642
1789;Baldwin Stocker ;Arcadia Unified;-1.5300261065;Muir (John) ;Antioch Unified;-0.7782908504
1790;Camino Grove ;Arcadia Unified;-0.5787432641;Jack London ;Antioch Unified;1.2161678972
1791;Highland Oaks ;Arcadia Unified;-1.1128174132;Grant ;Antioch Unified;-1.2950312128
1792;Holly Avenue ;Arcadia Unified;-1.6437635124;Antioch Charter Academy;Antioch Unified;-0.3161238982
1793;Hugo Reid ;Arcadia Unified;-1.6738173258;Diablo Vista ;Antioch Unified;-1.2588502868
1794;Longley Way ;Arcadia Unified;-1.0702502473;Vanguard Preparatory;Apple Valley Unified;-0.4433329041
1152;Fuente Nueva Charter;Arcata ;0.1340113159;Sitting Bull Academy;Apple Valley Unified;0.5102622843
1154;Arcata ;Arcata ;2.8775934775;Phoenix Academy;Apple Valley Unified;-4.166538362
1155;Coastal Grove Charter;Arcata ;-0.9516514544;Academy for Academic Excellence;Apple Valley Unified;-2.708049497
5523;Arcohe ;Arcohe Union ;-0.2260720355;Mariana Academy;Apple Valley Unified;-2.1623261441
3945;Arena ;Arena Union ;0.0310483396;Rancho Verde ;Apple Valley Unified;-2.0141375517
3946;Pacific Community Charter;Arena Union ;-0.4253413513;Yucca Loma ;Apple Valley Unified;-2.4234997068
1614;Armona ;Armona Union ;-0.0665898301;Desert Knolls ;Apple Valley Unified;-1.5783451475
5895;San Juan;Aromas/San Juan Unified;-1.5628299571;Sandia ;Apple Valley Unified;-1.3158507121
5896;Aromas;Aromas/San Juan Unified;-1.244886314;Rio Vista ;Apple Valley Unified;0.2451420572
7450;Creston ;Atascadero Unified;-0.6412336087;Sycamore Rocks ;Apple Valley Unified;-1.3548744687
7452;Monterey Road ;Atascadero Unified;0.3660699891;Baldwin Stocker ;Arcadia Unified;-0.4271896273
7453;Santa Margarita ;Atascadero Unified;-0.1250430317;Camino Grove ;Arcadia Unified;0.6410897779
7454;Santa Rosa Road Academic Academy;Atascadero Unified;0.0614003151;Highland Oaks ;Arcadia Unified;0.3918471874
7455;San Gabriel ;Atascadero Unified;0.2569313268;Holly Avenue ;Arcadia Unified;-2.2029144697
7456;San Benito ;Atascadero Unified;-1.162607751;Hugo Reid ;Arcadia Unified;2.1902792128
4003;Elmer Wood ;Atwater ;-0.0911581226;Longley Way ;Arcadia Unified;-1.310507383
4004;Mitchell ;Atwater ;0.1288489937;Arcata ;Arcata ;-0.7490783286
4007;Thomas Olaeta ;Atwater ;-0.7362043805;Coastal Grove Charter;Arcata ;-6.7820685975
4008;Peggy Heller ;Atwater ;-0.5458079675;Arcohe ;Arcohe Union ;1.1234255484
4923;Alta Vista Community Charter;Auburn Union ;-0.1118009043;Arena ;Arena Union ;-0.4882865179
4926;Skyridge ;Auburn Union ;-0.3650140669;Pacific Community Charter;Arena Union ;-0.9526514364
4927;Auburn ;Auburn Union ;2.0172128997;San Juan;Aromas/San Juan Unified;-2.5286296704
1801;Alice M. Ellington ;Azusa Unified;1.5288117365;Aromas;Aromas/San Juan Unified;1.2637974157
1807;Henry Dalton ;Azusa Unified;-0.4321479932;El Camino Real ;Arvin Union;-1.1462071474
1808;Magnolia ;Azusa Unified;-0.7526369994;Monterey Road ;Atascadero Unified;1.010381708
1809;Mountain View ;Azusa Unified;0.750940374;Santa Margarita ;Atascadero Unified;-0.0934478238
1810;Paramount ;Azusa Unified;-0.8137660586;Santa Rosa Road Academic Academy;Atascadero Unified;-2.0822895273
1813;Victor F. Hodge ;Azusa Unified;-0.4975971116;San Gabriel ;Atascadero Unified;0.824349105
1338;Caroline Harris ;Bakersfield City;-0.341364432;San Benito ;Atascadero Unified;-3.1543691484
1340;Evergreen ;Bakersfield City;-1.4499971019;Elmer Wood ;Atwater ;-0.598675383
1342;Colonel Howard Nichols ;Bakersfield City;-1.6121051122;Mitchell ;Atwater ;0.5151807644
1345;Franklin ;Bakersfield City;-1.3050593271;Shaffer ;Atwater ;1.2361158492
1348;Harding ;Bakersfield City;0.235757927;Thomas Olaeta ;Atwater ;1.5037717171
1349;Henry Eissler ;Bakersfield City;-2.3833183228;Peggy Heller ;Atwater ;-0.0310858614
1351;Hort ;Bakersfield City;-0.4282766039;Alta Vista Community Charter;Auburn Union ;0.8477577154
1362;Bessie E. Owens Primary;Bakersfield City;4.6560694824;Skyridge ;Auburn Union ;1.8085316742
1365;Voorhies ;Bakersfield City;0.6965118113;Auburn ;Auburn Union ;2.0213366215
1372;Dr. Juliet Thorner ;Bakersfield City;-1.1151213183;Alice M. Ellington ;Azusa Unified;-0.6976184998
1374;Cesar E. Chavez ;Bakersfield City;-1.2688570807;Henry Dalton ;Azusa Unified;0.4299695354
1375;Downtown ;Bakersfield City;-1.6603764433;Paramount ;Azusa Unified;-0.7194344469
1376;Bessie E. Owens Intermediate;Bakersfield City;3.3086870551;Victor F. Hodge ;Azusa Unified;0.2868572538
1820;Charles Bursch ;Baldwin Park Unified;-1.4632507635;W. R. Powell ;Azusa Unified;-0.4900726439
1821;Central ;Baldwin Park Unified;-0.6159983429;Dr. Douglas K. Fletcher ;Bakersfield City;-0.6991163543
1825;Foster ;Baldwin Park Unified;-1.202097944;Caroline Harris ;Bakersfield City;-3.0806514643
1826;Ernest R. Geddes ;Baldwin Park Unified;-2.2149015947;Colonel Howard Nichols ;Bakersfield City;-0.2762586612
1827;Kenmore ;Baldwin Park Unified;-1.9497239306;Franklin ;Bakersfield City;1.4915219001
1829;Margaret Heath ;Baldwin Park Unified;0.1125068364;Harding ;Bakersfield City;-0.766144268
1831;Pleasant View ;Baldwin Park Unified;-1.2039402545;Henry Eissler ;Bakersfield City;-1.3792915721
1832;Tracy ;Baldwin Park Unified;-1.4226120877;Hort ;Bakersfield City;-2.1415975158
1833;Vineland ;Baldwin Park Unified;-1.2272375321;Voorhies ;Bakersfield City;0.7078343873
1834;Walnut ;Baldwin Park Unified;-0.5905348889;Dr. Juliet Thorner ;Bakersfield City;1.5144327611
1836;Santa Fe ;Baldwin Park Unified;-2.7449879829;Cesar E. Chavez ;Bakersfield City;1.0099068916
5084;Central ;Banning Unified;-1.3589317155;Downtown ;Bakersfield City;-0.4660788125
5085;Hemmerling ;Banning Unified;0.6796789616;Bessie E. Owens Intermediate;Bakersfield City;6.1633024247
