sname;sname;dname;z
4702;McSwain ;McSwain Union ;-0.3076011345
1563;Meadows ;Meadows Union ;2.6313649812
4593;Mendocino K-8;Mendocino Unified;-0.1903137987
6040;Freedom Crest ;Menifee Union ;-2.1985373423
6041;Oak Meadows ;Menifee Union ;0.2571370894
6042;Santa Rosa Academy;Menifee Union ;-2.5787394298
6043;Evans Ranch ;Menifee Union ;-1.5419763834
6044;Southshore ;Menifee Union ;-2.1972424694
6045;Quail Valley ;Menifee Union ;-0.9697001773
6047;Herk Bouris ;Menifee Union ;-3.1816181655
6049;Chester W. Morrison ;Menifee Union ;-1.9997212992
6050;Callie Kirkpatrick ;Menifee Union ;-2.0564195905
6051;Ridgemoor ;Menifee Union ;-1.8257413938
8685;Encinal ;Menlo Park City ;5.409279672
4704;Joe Stefani;Merced City ;-0.3096362121
4705;Ada Givens ;Merced City ;0.3582218699
4706;Charles Wright ;Merced City ;0.3558759554
4707;Donn B. Chenoweth ;Merced City ;0.0084573041
4710;John C. Fremont ;Merced City ;0.7142610775
4711;John Muir ;Merced City ;-0.1631456928
4712;Luther Burbank ;Merced City ;3.6919717014
4716;Allan Peterson ;Merced City ;3.3751069037
10660;Golden Valley Charter;Mesa Union ;-0.2615436579
10661;Mesa ;Mesa Union ;5.3561812588
2031;Minnie Cannon ;Middletown Unified;-0.0622349302
2032;Cobb Mountain ;Middletown Unified;-0.7898070427
2034;Coyote Valley ;Middletown Unified;-3.1471799783
1812;Midway ;Midway ;-0.4826697138
4485;Strawberry Point ;Mill Valley ;1.0698773259
8690;Green Hills ;Millbrae ;-0.2505227654
8691;Lomita Park ;Millbrae ;-0.0850414228
8692;Meadows ;Millbrae ;1.0544196538
8693;Spring Valley ;Millbrae ;0.3377849134
9539;Millville ;Millville ;-2.7083156187
9369;Alexander Rose ;Milpitas Unified;1.6746034431
9370;Anthony Spangler ;Milpitas Unified;0.1434429289
9371;Curtner ;Milpitas Unified;0.8313513173
9372;John Sinnott ;Milpitas Unified;2.8365195176
9373;Joseph Weller ;Milpitas Unified;-0.6160519015
9374;Marshall Pomeroy ;Milpitas Unified;2.4851470632
9376;Robert Randall ;Milpitas Unified;0.3408120724
9378;William Burnett ;Milpitas Unified;0.0585025445
9379;Pearl Zanker ;Milpitas Unified;1.6301334644
10065;Elihu Beard ;Modesto City ;-2.5227821211
10069;Enslen ;Modesto City ;0.3696681585
10070;Catherine Everett ;Modesto City ;-1.023779765
10071;Fairview ;Modesto City ;-2.9204072184
10073;John Fremont ;Modesto City ;1.028868847
10075;John Muir ;Modesto City ;-2.2105099474
10082;Rose Avenue ;Modesto City ;-0.6075566063
10086;Sonoma ;Modesto City ;-0.5781446922
10087;Lakewood ;Modesto City ;1.774219803
10089;Alberta Martone ;Modesto City ;-1.0572071067
4781;Alturas ;Modoc Joint Unified;-0.7335972995
1814;Hacienda ;Mojave Unified;-2.2082458569
1818;Mojave ;Mojave Unified;-2.1937447316
1819;Robert P. Ulrich ;Mojave Unified;-0.2710093362
3747;Bradoaks ;Monrovia Unified;2.1469731324
3749;Mayflower ;Monrovia Unified;2.1582296208
3750;Monroe ;Monrovia Unified;1.7359524465
3751;Plymouth ;Monrovia Unified;-0.2034737327
3753;Wild Rose ;Monrovia Unified;0.4891468984
10419;Monson-Sultana ;Monson-Sultana Joint Union ;0.1527345854
9632;Montague ;Montague ;-0.6198365357
3761;Bandini ;Montebello Unified;-0.1271651865
3763;Bella Vista ;Montebello Unified;-1.6242834029
3764;Cesar E. Chavez ;Montebello Unified;-0.3561753364
3765;Joseph A. Gascon ;Montebello Unified;-20.1067711933
3766;Fremont ;Montebello Unified;-2.4385177513
3767;Garfield ;Montebello Unified;-3.8442057293
3770;La Merced ;Montebello Unified;-4.9008288383
3773;Potrero Heights ;Montebello Unified;1.15783263
3774;Rosewood Park;Montebello Unified;-3.4049658141
3775;Suva ;Montebello Unified;-0.8983561195
3776;Washington ;Montebello Unified;1.4698749226
3777;Wilcox ;Montebello Unified;-2.1124159352
3778;Winter Gardens ;Montebello Unified;-2.6204177751
4808;Monterey Bay Charter;Monterey County Office of Education;-5.6975930168
4809;Bay View Academy;Monterey County Office of Education;-0.9370450044
4864;Monte Vista;Monterey Peninsula Unified;-0.6228001311
4865;Dual Language Academy of the Monterey Peninsula;Monterey Peninsula Unified;0.6623129068
4871;Foothill ;Monterey Peninsula Unified;-1.7769574923
4872;George C. Marshall ;Monterey Peninsula Unified;-0.8846000111
4874;Ione Olson ;Monterey Peninsula Unified;-1.2934432228
4875;J. C. Crumpton ;Monterey Peninsula Unified;-1.8364034574
4876;La Mesa ;Monterey Peninsula Unified;0.0521798062
4877;Marina Vista ;Monterey Peninsula Unified;-2.3148952353
4883;International School of Monterey;Monterey Peninsula Unified;0.2491189457
10838;Flory Academy of Sciences and Technology;Moorpark Unified;4.5764589553
10839;Peach Hill Academy;Moorpark Unified;4.4184819965
10841;Campus Canyon ;Moorpark Unified;0.5207582644
10842;Mountain Meadows ;Moorpark Unified;3.2033466786
10843;Arroyo West ;Moorpark Unified;1.0075957664
10845;Walnut Canyon ;Moorpark Unified;2.366767156
9176;Latimer ;Moreland;-0.7325936946
9177;Country Lane ;Moreland;1.7208538769
9178;Easterbrook Discovery;Moreland;4.7536740295
9180;George C. Payne ;Moreland;1.4799684625
9181;Gussie M. Baker ;Moreland;2.8795257556
9182;Leroy Anderson ;Moreland;0.6409263257
6054;TownGate ;Moreno Valley Unified;-2.1782605089
6056;La Jolla ;Moreno Valley Unified;-0.4270653979
6068;Midland ;Moreno Valley Unified;-2.7022628547
6069;Moreno ;Moreno Valley Unified;-0.8083012882
6071;Butterfield ;Moreno Valley Unified;-1.5503781719
6072;Sunnymeadows ;Moreno Valley Unified;-1.442481307
6073;Ramona ;Moreno Valley Unified;0.3387318707
6074;Honey Hollow ;Moreno Valley Unified;0.6486108512
6077;Sugar Hill ;Moreno Valley Unified;-0.8860163932
6078;Creekside ;Moreno Valley Unified;-1.4239298302
6079;Chaparral Hills ;Moreno Valley Unified;-1.4567971601
6080;Cloverdale ;Moreno Valley Unified;-1.9865635018
6082;Bear Valley ;Moreno Valley Unified;-0.2280394613
6085;Box Springs ;Moreno Valley Unified;-1.3704081096
6086;Hendrick Ranch ;Moreno Valley Unified;-0.7797068325
6087;Hidden Springs ;Moreno Valley Unified;-0.8642317282
6088;North Ridge ;Moreno Valley Unified;1.3651549007
6089;Ridge Crest ;Moreno Valley Unified;-1.435459977
6092;Seneca ;Moreno Valley Unified;-2.2582959349
9187;Nordstrom ;Morgan Hill Unified;3.6361689127
9188;P. A. Walsh STEAM Academy;Morgan Hill Unified;0.0507882942
9189;San Martin Gwinn Environmental Science Academy;Morgan Hill Unified;2.481840188
9191;Los Paseos ;Morgan Hill Unified;2.4980674928
9192;Jackson Academy of Music and Math (JAMM);Morgan Hill Unified;3.5509359763
9193;Paradise Valley/Machado ;Morgan Hill Unified;0.2749253582
9195;El Toro ;Morgan Hill Unified;1.0168244295
9196;Barrett ;Morgan Hill Unified;0.1739782855
9197;Charter School of Morgan Hill;Morgan Hill Unified;-0.6665559105
6988;Joshua Tree ;Morongo Unified;-0.1475743609
6989;Morongo Valley ;Morongo Unified;-0.7030525124
6990;Oasis ;Morongo Unified;-1.7511108532
6991;Palm Vista ;Morongo Unified;-0.9760322902
6992;Twentynine Palms ;Morongo Unified;1.6343129885
6994;Yucca Valley ;Morongo Unified;-0.5620761457
6995;Yucca Mesa ;Morongo Unified;-0.8877811053
6997;Friendly Hills ;Morongo Unified;1.3645795989
6998;Condor ;Morongo Unified;-4.4958821231
7000;Onaga ;Morongo Unified;0.9826459197
929;Indian Creek ;Mother Lode Union ;-1.1366988052
7615;Academy of Arts and Sciences: El Cajon ;Mountain Empire Unified;-1.0738028587
7617;Academy of Arts and Sciences: Del Mar  (;Mountain Empire Unified;-1.6543724949
7619;County Collaborative Charter;Mountain Empire Unified;-0.2238622687
7624;Campo ;Mountain Empire Unified;-3.6084025725
7625;Descanso ;Mountain Empire Unified;-0.6288095498
10343;Hayfork Valley ;Mountain Valley Unified;-0.2414347928
3793;Monte Vista ;Mountain View ;-1.9386635573
3796;Twin Lakes ;Mountain View ;0.1513085228
7002;Mountain View ;Mountain View ;-0.4658172058
7004;Creek View ;Mountain View ;-0.5998227969
7005;Ranch View ;Mountain View ;0.1205766739
9200;Benjamin Bubb ;Mountain View Whisman;5.1224433219
9201;Edith Landels ;Mountain View Whisman;3.239668203
9202;Frank L. Huff ;Mountain View Whisman;0.4583132735
9204;Mariano Castro ;Mountain View Whisman;7.0806403583
9207;Monta Loma ;Mountain View Whisman;1.5007132017
9208;Theuerkauf ;Mountain View Whisman;0.1127010165
674;Delta View ;Mt. Diablo Unified;0.1375140207
688;Ayers ;Mt. Diablo Unified;2.7917780452
689;Bancroft ;Mt. Diablo Unified;2.903809652
693;El Monte ;Mt. Diablo Unified;0.1528919704
694;Fair Oaks ;Mt. Diablo Unified;-1.1136433515
696;Hidden Valley ;Mt. Diablo Unified;1.1286657865
697;Highlands ;Mt. Diablo Unified;0.8083635664
699;Monte Gardens ;Mt. Diablo Unified;1.0485226451
700;Mountain View ;Mt. Diablo Unified;-0.8931701656
701;Mt. Diablo ;Mt. Diablo Unified;1.149786223
705;Pleasant Hill ;Mt. Diablo Unified;4.0870568383
706;Sequoia ;Mt. Diablo Unified;0.0969750508
709;Silverwood ;Mt. Diablo Unified;1.7645475919
710;Strandwood ;Mt. Diablo Unified;2.071404262
711;Sun Terrace ;Mt. Diablo Unified;-0.7621619294
712;Valhalla ;Mt. Diablo Unified;3.4757078375
715;Walnut Acres ;Mt. Diablo Unified;-0.1627970551
716;Westwood ;Mt. Diablo Unified;-1.2806271766
717;Woodside ;Mt. Diablo Unified;-0.5196499936
718;Wren Avenue ;Mt. Diablo Unified;-0.698922187
719;Ygnacio Valley ;Mt. Diablo Unified;1.6687456044
723;Gregory Gardens ;Mt. Diablo Unified;-0.5899990351
9215;Ida Jew Academies;Mt. Pleasant ;-3.3519900197
9217;Robert Sanders ;Mt. Pleasant ;0.8700718937
9218;Valle Vista ;Mt. Pleasant ;-5.99788794113902e-05
9634;Sisson;Mt. Shasta Union ;1.298567075
1565;Mulberry ;Mulberry ;-1.1872709867
10664;Academy of Arts and Sciences: Oxnard & Ventura;Mupu ;-0.1060387787
10665;Mupu ;Mupu ;0.2970667626
1824;Irving L. Branch ;Muroc Joint Unified;-2.6813704972
1825;West Boron ;Muroc Joint Unified;-0.9234680158
6304;Monte Vista ;Murrieta Valley Unified;-0.7224022461
6307;Antelope Hills ;Murrieta Valley Unified;-1.1386110727
6308;Lisa J. Mails ;Murrieta Valley Unified;0.434634175
6313;Murrieta ;Murrieta Valley Unified;-0.3354509273
6314;Avaxat ;Murrieta Valley Unified;-2.8324126865
6315;Alta Murrieta ;Murrieta Valley Unified;0.0893528757
6316;E. Hale Curran ;Murrieta Valley Unified;0.1343367955
6317;Rail Ranch ;Murrieta Valley Unified;0.1665545721
6320;Tovashal ;Murrieta Valley Unified;0.2682585842
6321;Cole Canyon ;Murrieta Valley Unified;-0.9483788454
6322;Daniel N. Buchanan ;Murrieta Valley Unified;-0.9090400087
4975;Canyon Oaks ;Napa Valley Unified;0.3561391577
4982;Alta Heights ;Napa Valley Unified;-0.7593834645
4983;Bel Aire Park ;Napa Valley Unified;0.9215891825
4984;Browns Valley ;Napa Valley Unified;7.0875571337
4985;Donaldson Way ;Napa Valley Unified;1.3639891838
4986;El Centro ;Napa Valley Unified;1.1903111481
4987;McPherson ;Napa Valley Unified;-1.9852725371
4988;Mt. George International;Napa Valley Unified;-0.7236812495
4989;Napa Junction ;Napa Valley Unified;-2.0992134808
4990;Northwood ;Napa Valley Unified;0.7569989306
4991;Phillips ;Napa Valley Unified;-0.4316201386
4992;Pueblo Vista ;Napa Valley Unified;-2.5521252422
4993;Salvador ;Napa Valley Unified;-0.9182468395
4994;Shearer ;Napa Valley Unified;0.6246195554
4995;Snow ;Napa Valley Unified;1.2852710589
4996;Vichy ;Napa Valley Unified;1.5668856145
4997;West Park ;Napa Valley Unified;-0.186945346
4998;Napa Valley Language Academy;Napa Valley Unified;4.795900647
4999;Yountville ;Napa Valley Unified;0.1836358286
7630;Central ;National ;-2.4784591168
7631;El Toyon ;National ;-0.4656900967
7632;John A. Otis ;National ;-3.4970523949
7633;Ira Harbison;National ;0.4204151042
7634;Kimball;National ;-4.7538943549
7635;Las Palmas;National ;-2.2280063957
7636;Lincoln Acres;National ;-2.6823087224
7637;Olivewood;National ;-2.470483082
7638;Palmer Way;National ;-0.8614805595
7639;Rancho de la Nacion;National ;-3.1716457413
6659;Witter Ranch ;Natomas Unified;-1.2575906949
6660;Westlake Charter;Natomas Unified;1.3000763398
6661;Heron;Natomas Unified;1.0795379363
6663;H. Allen Hight ;Natomas Unified;-1.3385005184
6671;American Lakes ;Natomas Unified;-3.1935630862
6672;Jefferson ;Natomas Unified;-2.9266199103
6673;Bannon Creek ;Natomas Unified;-2.838762225
6675;Natomas Park ;Natomas Unified;-0.547110809
6676;Two Rivers ;Natomas Unified;0.2201168532
7011;Vista Colorado ;Needles Unified;1.5261894788
5036;Deer Creek ;Nevada City ;2.1700246703
5014;Nevada City School of the Arts;Nevada County Office of Education;-4.9984653955
5020;Twin Ridges Home Study Charter;Nevada County Office of Education;-1.0669945163
198;Alvarado ;New Haven Unified;-1.1575014391
199;Hillview Crest ;New Haven Unified;0.7579809399
200;Searles ;New Haven Unified;-1.4104064399
203;Pioneer ;New Haven Unified;0.9955658395
204;Tom Kitayama ;New Haven Unified;3.1632335115
205;Guy Jr. Emanuele ;New Haven Unified;-1.3506784742
206;Delaine Eastin ;New Haven Unified;1.2675365136
8394;New Jerusalem;New Jerusalem ;-1.613724758
8395;Great Valley Academy - Manteca;New Jerusalem ;-1.967390233
8403;Valley View Charter Prep;New Jerusalem ;-1.614570026
184;August Schilling ;Newark Unified;-1.7944280404
185;E. L. Musick ;Newark Unified;-0.9633017113
186;H. A. Snow ;Newark Unified;0.1581936731
187;James A. Graham ;Newark Unified;-0.562746515
188;James L. Bunker ;Newark Unified;2.3120877269
189;John F. Kennedy ;Newark Unified;-0.2975949876
190;Lincoln ;Newark Unified;-0.127536407
191;Louis Milani ;Newark Unified;0.1612713384
5737;Rocklin Academy Gateway;Newcastle ;-1.3383330947
5738;Newcastle ;Newcastle ;0.7807330523
3799;Pico Canyon ;Newhall;0.1514015229
3800;Dr. J. Michael McGrath ;Newhall;0.5235593555
3801;Oak Hills ;Newhall;-1.2274125896
3802;Newhall ;Newhall;1.0403372534
3803;Peachland Avenue ;Newhall;4.428436187
3804;Wiley Canyon ;Newhall;-1.2205456858
3805;Old Orchard ;Newhall;3.4750600954
3806;Meadows ;Newhall;2.9540513014
3807;Valencia Valley ;Newhall;-0.3014755512
3808;Stevenson Ranch ;Newhall;-0.4272582648
10151;Hunt ;Newman-Crows Landing Unified;-1.3734772552
10152;Hurd Barrington ;Newman-Crows Landing Unified;-1.5890106432
10157;Bonita ;Newman-Crows Landing Unified;-0.2289823819
10158;Von Renner ;Newman-Crows Landing Unified;-1.348658583
5371;Abraham Lincoln ;Newport-Mesa Unified;-0.8327734313
5372;Adams ;Newport-Mesa Unified;1.2199530592
5373;California ;Newport-Mesa Unified;1.7548188723
5375;College Park ;Newport-Mesa Unified;0.0411526803
5376;Everett A. Rea ;Newport-Mesa Unified;-2.4472018331
5378;Heinz Kaiser ;Newport-Mesa Unified;3.6933025208
5380;Killybrooke ;Newport-Mesa Unified;0.9074591184
5381;Mariners ;Newport-Mesa Unified;1.6804740354
5382;Maude B. Davis ;Newport-Mesa Unified;0.2542594241
5383;Newport ;Newport-Mesa Unified;1.16961366
5384;Newport Heights ;Newport-Mesa Unified;1.8468036346
5385;Paularino ;Newport-Mesa Unified;-0.3133136514
5386;Pomona ;Newport-Mesa Unified;0.6256463921
5387;Sonora ;Newport-Mesa Unified;2.6467478263
5388;Victoria ;Newport-Mesa Unified;-0.955703987
5390;Wilson ;Newport-Mesa Unified;-2.5266749227
5391;Eastbluff ;Newport-Mesa Unified;-1.3766551582
1827;Veterans ;Norris ;2.3682605943
1828;Norris ;Norris ;0.7123118275
1830;Olive Drive ;Norris ;-0.4401405333
1831;William B. Bimat ;Norris ;0.1346174949
6754;Spring Grove ;North County Joint Union ;-1.3069948511
9541;North Cow Creek ;North Cow Creek ;-1.3784164136
4940;Castroville ;North Monterey County Unified;-0.7045638551
4941;Echo Valley ;North Monterey County Unified;-1.398044918
4942;Elkhorn ;North Monterey County Unified;-1.8405279665
4944;Prunedale ;North Monterey County Unified;2.4057177152
1387;Laurel Tree Charter;Northern Humboldt Union High;-0.579735454
3814;Anna M. Glazier ;Norwalk-La Mirada Unified;-0.5783088441
3816;Cesar Chavez ;Norwalk-La Mirada Unified;-3.0676679366
3818;D. D. Johnston ;Norwalk-La Mirada Unified;0.3116423619
3819;Eastwood ;Norwalk-La Mirada Unified;-0.2836434406
3820;Loretta Lampton ;Norwalk-La Mirada Unified;-1.6773340766
3821;Escalona ;Norwalk-La Mirada Unified;0.076481288
3822;Foster Road ;Norwalk-La Mirada Unified;-0.3874481885
3823;Gardenhill ;Norwalk-La Mirada Unified;-0.4319154691
3824;Earl E. Edmondson ;Norwalk-La Mirada Unified;-0.3916578381
3825;John Dolland ;Norwalk-La Mirada Unified;-3.9193588537
3826;John Foster Dulles ;Norwalk-La Mirada Unified;-0.9250335044
3828;Julia B. Morrison ;Norwalk-La Mirada Unified;-1.5821969966
3829;La Pluma ;Norwalk-La Mirada Unified;-0.316585816
3832;New River ;Norwalk-La Mirada Unified;-2.0803959642
3835;Thomas B. Moffitt ;Norwalk-La Mirada Unified;-1.4965011889
4497;Hamilton Meadow Park;Novato Unified;3.1793523131
4498;Loma Verde ;Novato Unified;2.5753275436
4499;Lu Sutton ;Novato Unified;3.0646271368
4500;Lynwood ;Novato Unified;5.5577460185
4501;Olive ;Novato Unified;2.2947915815
4502;Pleasant Valley ;Novato Unified;1.3030749413
4503;Rancho ;Novato Unified;0.0565221334
4504;San Ramon ;Novato Unified;6.6445682523
10232;Nuestro ;Nuestro ;1.1897545483
6095;Excel Prep Charter - IE;Nuview Union;-5.310324935
6097;Nuview ;Nuview Union;-0.0258331178
6099;Valley View ;Nuview Union;-0.4073468184
9220;Anderson (Alex) ;Oak Grove ;0.2323257118
9222;Christopher ;Oak Grove ;-0.2336562718
9223;Frost (Earl) ;Oak Grove ;0.6130854935
9225;Miner (George) ;Oak Grove ;-0.1757675233
9226;Glider ;Oak Grove ;1.9831945732
9227;Stipe (Samuel) ;Oak Grove ;2.9011432509
9228;Santa Teresa ;Oak Grove ;2.4296540972
9230;Sakamoto ;Oak Grove ;0.2714632913
9231;Del Roble ;Oak Grove ;0.8779559525
9233;Oak Ridge ;Oak Grove ;0.4936430674
9234;Parkview ;Oak Grove ;0.0469013419
9235;Baldwin (Julia) ;Oak Grove ;0.6788821004
9236;Taylor (Bertha) ;Oak Grove ;3.7612486128
9237;Hayes ;Oak Grove ;-0.6706846576
9238;Ledesma (Rita) ;Oak Grove ;1.4541551695
9901;Oak Grove /Willowside Middle;Oak Grove Union ;1.778831476
10832;Red Oak ;Oak Park Unified;-0.3231724534
10421;Oak Valley ;Oak Valley Union ;-0.2072451189
8408;Oak View ;Oak View Union ;0.28594268
10174;Sierra View ;Oakdale Joint Unified;-0.7115387208
10179;Cloverland ;Oakdale Joint Unified;-2.5185692825
10180;Fair Oaks ;Oakdale Joint Unified;2.1634840285
10182;Magnolia ;Oakdale Joint Unified;1.8655227657
217;Aspire Berkley Maynard Academy;Oakland Unified;-1.7854422343
219;Reach Academy;Oakland Unified;-21.5205797651
220;Manzanita SEED;Oakland Unified;2.1183163112
231;American Indian Public Charter School II;Oakland Unified;-5.1360551569
232;Conservatory of Vocal/Instrumental Arts;Oakland Unified;-7.2834940449
242;Greenleaf ;Oakland Unified;-1.8170461283
263;Lighthouse Community Charter;Oakland Unified;-0.4772582264
271;Allendale ;Oakland Unified;-4.3449098138
272;Chabot ;Oakland Unified;-0.5999165621
273;Bella Vista ;Oakland Unified;-3.303554927
274;Brookfield ;Oakland Unified;-1.581414972
276;Carl B. Munck ;Oakland Unified;0.3532242025
278;Cleveland ;Oakland Unified;-2.0699150584
279;Crocker Highlands ;Oakland Unified;3.5644701098
281;Franklin ;Oakland Unified;-1.2008109574
282;Fruitvale ;Oakland Unified;-3.950722079
284;Glenview ;Oakland Unified;0.4134403892
285;Grass Valley ;Oakland Unified;-2.6450745402
286;Kaiser ;Oakland Unified;1.2660168538
288;Hillcrest ;Oakland Unified;0.7488599178
289;Horace Mann ;Oakland Unified;-2.1774710032
290;Joaquin Miller ;Oakland Unified;0.9497383869
292;Laurel ;Oakland Unified;0.0693565834
293;Lincoln ;Oakland Unified;-0.8972129715
296;Bridges Academy;Oakland Unified;-3.395395496
297;Montclair ;Oakland Unified;1.4164537392
299;Peralta ;Oakland Unified;1.9760806484
300;Piedmont Avenue ;Oakland Unified;-1.0065514183
302;Redwood Heights ;Oakland Unified;1.1196254352
303;Sequoia ;Oakland Unified;2.4720610839
306;Thornhill ;Oakland Unified;0.7871562614
323;North Oakland Community Charter;Oakland Unified;1.7745716522
326;Melrose Leadership Academy;Oakland Unified;1.217193641
727;Iron House ;Oakley Union ;-0.2086501079
728;Almond Grove ;Oakley Union ;-0.7548452614
729;Oakley ;Oakley Union ;-2.4385191163
730;Gehringer ;Oakley Union ;-1.002884512
732;Laurel ;Oakley Union ;0.2455824643
733;Vintage Parkway ;Oakley Union ;-1.254841175
5396;Circle View ;Ocean View;0.5371566914
5397;College View ;Ocean View;3.052910837
5398;Harbour View ;Ocean View;2.447004622
5399;Hope View ;Ocean View;0.9232649838
5400;Lake View ;Ocean View;-0.9642871237
5404;Star View ;Ocean View;-2.1722000667
5405;Sun View ;Ocean View;-0.2143190316
5406;Village View ;Ocean View;1.1986371271
5407;Westmont ;Ocean View;-0.5275257532
5410;Golden View ;Ocean View;0.0671681366
10667;Laguna Vista ;Ocean View;-3.5889226331
10668;Mar Vista ;Ocean View;-6.3406863435
10669;Tierra Vista ;Ocean View;-2.699442221
8066;Coastal Academy;Oceanside Unified;-1.9474743549
8067;Louise Foussat ;Oceanside Unified;0.4350669315
8078;North Terrace ;Oceanside Unified;-3.5813341215
8079;Palmquist ;Oceanside Unified;2.4676766235
8080;San Luis Rey ;Oceanside Unified;-0.2754190908
8081;Santa Margarita ;Oceanside Unified;-3.1278765535
8082;South Oceanside ;Oceanside Unified;4.1362954483
8083;E. G. Garrison ;Oceanside Unified;-1.1056622063
8085;Reynolds ;Oceanside Unified;-0.6071306251
8086;Christa McAuliffe ;Oceanside Unified;1.6463025199
8087;Ivey Ranch ;Oceanside Unified;1.2621721576
8089;Stuart Mesa ;Oceanside Unified;-4.2503189852
8090;Nichols ;Oceanside Unified;1.2567673319
10675;Meiners Oaks ;Ojai Unified;0.2282778348
10676;Mira Monte ;Ojai Unified;-0.104590254
10677;San Antonio ;Ojai Unified;-0.8611529163
10679;Topa Topa ;Ojai Unified;1.4956175721
9904;Loma Vista Immersion Academy;Old Adobe Union;1.9094922452
9905;La Tercera ;Old Adobe Union;0.2544350022
9906;Old Adobe  Charter;Old Adobe Union;0.4373051562
9907;Miwok Valley Language Academy Charter;Old Adobe Union;0.2538959795
9908;Sonoma Mountain ;Old Adobe Union;-0.7237176185
7014;Vista Grande ;Ontario-Montclair;-2.874720289
7015;Montera ;Ontario-Montclair;0.5686154708
7017;Berlyn ;Ontario-Montclair;0.1420655961
7018;Bon View ;Ontario-Montclair;0.5003682203
7019;Buena Vista Arts-Integrated;Ontario-Montclair;-2.3496903795
7020;Central Language Academy;Ontario-Montclair;-0.6769418507
7022;Richard Haynes ;Ontario-Montclair;-1.0961279203
7024;Del Norte ;Ontario-Montclair;-0.4494590078
7025;Edison ;Ontario-Montclair;0.3717214121
7026;El Camino ;Ontario-Montclair;0.3086182182
7027;Elderberry ;Ontario-Montclair;-0.8336775129
7029;Hawthorne ;Ontario-Montclair;-0.9593522876
7030;Howard ;Ontario-Montclair;0.0193679747
7032;Kingsley ;Ontario-Montclair;-6.6019807084
7035;Mission ;Ontario-Montclair;-0.4703049743
7036;Monte Vista ;Ontario-Montclair;-1.9418493214
7037;Moreno ;Ontario-Montclair;-0.5400519158
7040;Sultana ;Ontario-Montclair;-1.7274075208
7043;Vineyard ;Ontario-Montclair;-0.8980519131
1193;California Virtual Academy @ Fresno;Orange Center;-1.8445305787
5065;OCCS:CHEP/PCHS;Orange County Department of Education;-0.3465043406
5420;Cambridge ;Orange Unified;-0.7165938158
5421;Crescent ;Orange Unified;3.5174112346
5422;Esplanade ;Orange Unified;-0.3353436384
5423;Fairhaven ;Orange Unified;-2.1453831919
5424;Fletcher ;Orange Unified;1.7898338841
5425;Handy ;Orange Unified;-1.8197324512
5427;Lampson ;Orange Unified;0.2915592991
5428;La Veta ;Orange Unified;2.8784322497
5429;Olive ;Orange Unified;-1.1324004011
5430;Palmyra ;Orange Unified;1.0915361465
5431;Panorama ;Orange Unified;0.1987868449
5432;Prospect ;Orange Unified;-0.4583686552
5434;Serrano ;Orange Unified;1.3884960204
5435;Sycamore ;Orange Unified;-2.4606866159
5436;Taft ;Orange Unified;-1.227641936
5437;Villa Park ;Orange Unified;0.6459463544
5438;West Orange ;Orange Unified;0.522128976
5440;McPherson Magnet;Orange Unified;1.3000392727
5443;Linda Vista ;Orange Unified;2.9588057868
5444;Nohl Canyon ;Orange Unified;0.930800881
5447;Imperial ;Orange Unified;-1.5702037198
5449;Chapman Hills ;Orange Unified;-0.4749039966
5450;Canyon Rim ;Orange Unified;2.1501195536
5451;Running Springs ;Orange Unified;1.4229448648
9241;Orchard ;Orchard ;0.7311388843
8889;Olga L. Reed ;Orcutt Union ;-0.6022120777
8890;Alice Shaw ;Orcutt Union ;-0.7816021524
8891;Ralph Dunlap ;Orcutt Union ;-0.1333050521
8893;Joe Nightingale ;Orcutt Union ;-1.0711261655
8895;Patterson Road ;Orcutt Union ;0.9034633084
8896;Pine Grove ;Orcutt Union ;-1.0300387636
1363;Fairview ;Orland Joint Unified;-1.1180028942
7048;Riverside Preparatory;Oro Grande ;-3.0982751581
478;STREAM Charter;Oroville City ;0.7189683498
480;Central Middle;Oroville City ;-2.6733754039
481;Oakdale Heights ;Oroville City ;-6.1265258318
482;Ophir ;Oroville City ;-1.8003288911
483;Stanford Avenue ;Oroville City ;-1.9333378963
10682;Thurgood Marshall ;Oxnard;-0.7619694001
10683;Juan Lagunas Soria ;Oxnard;-1.3602181727
10684;Curren ;Oxnard;-3.4450452402
10685;Driffill ;Oxnard;-1.9087627615
10691;Kamala ;Oxnard;-0.2260912014
10692;Marina West ;Oxnard;-3.2786802243
10696;Sierra Linda ;Oxnard;-0.7289885195
10697;Lemonwood ;Oxnard;0.1990538089
10698;Christa McAuliffe ;Oxnard;0.1683114405
10699;Emilie Ritchen ;Oxnard;-1.0163512269
10701;Norman R. Brekke ;Oxnard;-0.6157638606
10703;Camarillo Academy of Progressive Education;Oxnard Union High;1.4395361645
9546;Prairie ;Pacheco Union ;0.5189335926
9400;Pacific ;Pacific ;-0.1752794848
4887;Forest Grove ;Pacific Grove Unified;2.8821047193
4888;Robert Down ;Pacific Grove Unified;0.0711486757
1197;Pacific Union ;Pacific Union ;2.3171532543
1445;Pacific Union ;Pacific Union ;1.3996921531
8670;Ortega ;Pacifica;-0.2223674278
8672;Cabrillo ;Pacifica;1.3664514342
8674;Ocean Shore ;Pacifica;0.7702155534
8675;Vallemar ;Pacifica;-0.3270360231
8676;Sunset Ridge ;Pacifica;1.1144189091
9403;Landmark ;Pajaro Valley Unified;-0.8086409857
