sname;sname;dname;z
6822;North Shore ;Bear Valley Unified;-0.6680857017
6823;Big Bear ;Bear Valley Unified;0.5618215727
6824;Baldwin Lane ;Bear Valley Unified;-1.0047983698
1665;San Lauren ;Beardsley ;0.1354135156
5885;Sundance ;Beaumont Unified;0.895322999
5886;Brookside ;Beaumont Unified;0.8550828074
5888;Tournament Hills ;Beaumont Unified;0.2539419313
5889;Anna Hause ;Beaumont Unified;0.3077581082
5890;Highland Academy;Beaumont Unified;-3.5568115986
5894;Three Rings Ranch ;Beaumont Unified;-0.7358433903
5896;Palm ;Beaumont Unified;-1.7376278271
9484;Bella Vista ;Bella Vista ;-0.8886460866
10591;Belleview ;Belleview ;0.9185180678
9842;Taylor Mountain ;Bellevue Union ;-1.2270449423
9844;Bellevue ;Bellevue Union ;-0.191491864
9846;Meadow View ;Bellevue Union ;-0.1238672817
2224;Las Flores Home Education Independent Study Academ;Bellflower Unified;-0.2110953314
2229;Albert Baxter ;Bellflower Unified;1.8416785565
2230;Intensive Learning Center;Bellflower Unified;0.5637664661
2231;Ernie Pyle ;Bellflower Unified;-0.5877465221
2232;Esther Lindstrom ;Bellflower Unified;-0.3559964541
2233;Frank E. Woodruff ;Bellflower Unified;-1.6178624933
2234;Craig Williams ;Bellflower Unified;-0.9343153533
2235;Ramona ;Bellflower Unified;-0.0636829401
2236;Stephen Foster ;Bellflower Unified;-0.5717430737
2237;Thomas Jefferson ;Bellflower Unified;-1.3282423639
2238;Washington ;Bellflower Unified;-2.0384699897
8619;Nesbit ;Belmont-Redwood Shores ;0.6179817761
9679;Mary Farmar ;Benicia Unified;-0.1194713705
9680;Robert Semple ;Benicia Unified;0.3017469515
9681;Joe Henderson ;Benicia Unified;1.2675343501
9682;Matthew Turner ;Benicia Unified;2.1150058356
9848;Yulupa ;Bennett Valley Union ;3.850290643
9849;Strawberry ;Bennett Valley Union ;1.7101410187
51;Rosa Parks Environmental Science Magnet;Berkeley Unified;1.5622534378
52;Cragmont ;Berkeley Unified;3.9793884371
53;Emerson ;Berkeley Unified;3.7595636771
54;Jefferson ;Berkeley Unified;4.5719928122
55;Leconte ;Berkeley Unified;2.4111263711
56;Malcolm X ;Berkeley Unified;5.7225466317
58;Oxford ;Berkeley Unified;4.0208702692
59;Thousand Oaks ;Berkeley Unified;4.7988350911
60;Washington ;Berkeley Unified;7.7344683531
61;Berkeley Arts Magnet at Whittier;Berkeley Unified;3.3402881734
62;John Muir ;Berkeley Unified;3.045365581
8990;Laneview ;Berryessa Union ;0.0031480859
8991;Noble ;Berryessa Union ;1.816733765
8992;Northwood ;Berryessa Union ;1.5012026396
8994;Toyon ;Berryessa Union ;1.6182060508
8995;Ruskin ;Berryessa Union ;1.7493259903
8997;Cherrywood ;Berryessa Union ;-0.2698914063
8999;Vinci Park ;Berryessa Union ;0.6454482236
9000;Brooktree ;Berryessa Union ;-0.4528688345
9001;Majestic Way ;Berryessa Union ;0.7750770866
9002;Summerdale ;Berryessa Union ;0.2939184024
2242;Beverly Vista ;Beverly Hills Unified;-0.994620722
2243;El Rodeo ;Beverly Hills Unified;0.7805338068
2244;Hawthorne ;Beverly Hills Unified;-3.0715061618
2245;Horace Mann ;Beverly Hills Unified;-3.9060404789
10625;Tenaya ;Big Oak Flat-Groveland Unified;-2.3474148499
9602;Big Springs ;Big Springs Union ;0.231519325
4946;Big Sur Charter;Big Sur Unified;-1.6716610772
432;Biggs ;Biggs Unified;0.2089656814
1606;Pine Street ;Bishop Unified;0.5492981929
952;American River Charter;Black Oak Mine Unified;-0.2920328995
955;Georgetown ;Black Oak Mine Unified;-1.9389829898
956;Northside ;Black Oak Mine Unified;0.6413632838
8808;Trivium Charter;Blochman Union ;-0.476003518
8809;Benjamin Foxen ;Blochman Union ;2.3042920619
1395;Blue Lake ;Blue Lake Union ;1.3344015582
4461;Bolinas-Stinson ;Bolinas-Stinson Union;-1.6783403019
2251;Allen Avenue ;Bonita Unified;-0.1075055435
2252;Arma J. Shull ;Bonita Unified;-1.7764654028
2253;Fred Ekstrand ;Bonita Unified;0.4986881372
2254;Gladstone ;Bonita Unified;-0.9318098641
2255;Grace Miller ;Bonita Unified;-0.2187131404
2256;J. Marion Roynon ;Bonita Unified;0.1358321498
2257;La Verne Heights ;Bonita Unified;0.9369637194
2260;Oak Mesa ;Bonita Unified;-0.8108829828
8134;Bonsall West ;Bonsall Unified;-8.5983328064
8136;Bonsall ;Bonsall Unified;-7.0052040653
7363;Oxford Preparatory Academy;Borrego Springs Unified;-2.2613819699
4830;Bradley ;Bradley Union ;2.5281243309
1498;Miguel Hidalgo ;Brawley ;-1.0139913683
1499;J. W. Oakley ;Brawley ;0.9173509408
1500;Myron D. Witter ;Brawley ;0.2415462156
1501;Phil D. Swing ;Brawley ;-1.3776287519
5118;Arovista ;Brea-Olinda Unified;4.3857325292
5119;Laurel ;Brea-Olinda Unified;-0.5639718831
5120;Mariposa ;Brea-Olinda Unified;1.1959542159
5121;Olinda ;Brea-Olinda Unified;1.6384336951
5123;William E. Fanning ;Brea-Olinda Unified;0.4209989981
5124;Brea Country Hills ;Brea-Olinda Unified;1.8524892036
622;Pioneer ;Brentwood Union ;1.2620869939
623;Marsh Creek ;Brentwood Union ;0.9616184884
625;Mary Casey Black ;Brentwood Union ;0.0027515057
626;Brentwood ;Brentwood Union ;-0.0761610864
628;Garin ;Brentwood Union ;1.3541176292
629;Ron Nunn ;Brentwood Union ;-1.6190175265
631;Loma Vista ;Brentwood Union ;0.5733951711
632;R. Paul Krey ;Brentwood Union ;0.8480730458
10637;Olivelands ;Briggs ;-0.654787576
8623;Brisbane ;Brisbane ;1.8585800581
8625;Panorama ;Brisbane ;0.1262011199
10211;Brittan ;Brittan ;-0.6008750182
10213;Browns ;Browns ;0.8679245002
884;Oak Meadow ;Buckeye Union ;2.2276418257
885;Charter Montessori Blue Oak Campus;Buckeye Union ;0.5961876567
886;California Montessori Project-Shingle Springs Camp;Buckeye Union ;-0.1090258867
888;Buckeye ;Buckeye Union ;0.2426581437
889;William Brooks ;Buckeye Union ;2.1851791845
891;Blue Oak ;Buckeye Union ;-0.0992040941
892;Silva Valley ;Buckeye Union ;0.1621324666
8832;Oak Valley ;Buellton Union ;3.3687300547
5126;Arthur F. Corey ;Buena Park ;0.096669701
5127;Carl E. Gilbert ;Buena Park ;-1.3301450131
5128;Charles G. Emery ;Buena Park ;3.4278209203
5129;Gordon H. Beatty ;Buena Park ;3.3874342577
5131;James A. Whitaker ;Buena Park ;-1.9627619015
5132;Mabel L. Pendleton ;Buena Park ;-1.0324664917
10369;Buena Vista ;Buena Vista ;-0.6606275035
